Index,X1_t,X2_t,x1_bin,x2_bin
173760,1.0168118118593394,0.8837948915611035,47,48
196314,0.5204879310692347,0.1567079388386951,10,5
27398,0.9305042927307244,0.6348716718435049,41,33
221890,0.6515981964074647,0.2846896365337696,19,13
330977,0.6153295054533476,0.2310562111546703,17,10
253418,0.9865919410907678,0.7682782602534253,45,41
434271,0.7137798067449683,0.3313171977174695,24,16
413713,0.9618749142239538,0.7493742930039393,43,40
405402,0.7187957383579441,0.3515898992326462,25,17
124614,0.8696846899923775,0.5387856160487259,36,28
23319,0.9589305740849428,0.6968752399270277,43,37
42723,0.5565637073274768,0.1899695740708182,12,7
435017,0.8530256940091284,0.5161302275511223,35,26
51254,0.925595564822822,0.6409307199591067,40,34
252871,0.711556383775091,0.3594867677992143,24,17
222043,0.7135239835633196,0.370016388559971,24,18
43248,0.8016517972869762,0.4561445092178698,31,23
133996,0.5613144251572394,0.1959893761415169,13,8
169047,0.8519434422924653,0.4786929909355658,35,24
434982,0.8262885802852432,0.4742858713449341,33,24
385492,0.8949051849659221,0.6388829406861583,38,33
331044,0.6334003412806756,0.2372652285427722,18,10
237861,0.942583438451857,0.6504669700097835,42,34
204034,0.591763644000618,0.2159086694697062,15,9
197286,0.797629202591165,0.4214504201867479,31,21
468297,1.0225495070278812,0.8271337962020417,48,44
385486,0.8960698670751324,0.6345947579210373,38,33
385077,0.6594279670511419,0.2874392347441788,20,13
171346,0.467812616434317,0.1196698422547747,6,3
51009,0.9258584998992953,0.6416263469635808,40,34
434264,0.7121150544117034,0.3273902466163978,24,15
172607,0.7682585239474506,0.406447538955052,28,20
197515,0.7992436193890439,0.4395839082877775,31,22
405441,0.753916989649559,0.396831906755568,27,19
285145,0.8414210980325287,0.471061820290867,34,24
417217,0.9473048563263337,0.7157815429380417,42,38
62310,0.916427250786286,0.6211145507685804,40,32
321587,1.0355883393395209,0.8801787748038957,49,47
252752,0.6026440210030924,0.2272872390804135,16,9
284339,0.8487907764926853,0.4854996803764355,34,25
169937,0.8747695788155617,0.5380113230047593,36,28
399739,1.036274270025367,0.8736437509437316,49,47
384576,0.7656783829066894,0.4022826021562864,28,20
222217,0.7912782779753716,0.4964742360988493,30,25
419867,0.9828849764717416,0.7922531395459447,45,42
172394,0.6009762004276092,0.1971893770888289,16,8
283474,0.6666182988376126,0.2722188650061523,21,12
283351,0.5578641263762434,0.1791381652348822,12,7
182872,1.029923861345315,0.8986585037366748,48,49
384332,0.6230563466501775,0.2444572778633217,17,10
385637,0.9513089429936196,0.7407019068259182,42,39
239873,0.6157506409131321,0.2457687707870099,17,11
173199,0.7579203335536294,0.4304387675251619,28,21
420204,0.9820726276746004,0.7894015678071588,45,42
204064,0.610757800856404,0.2373838340883123,16,10
17989,0.9718212258803144,0.7255235447642794,44,38
221767,0.6053493849566687,0.2381313839468858,16,10
171823,0.4291794127030786,0.0937643869286672,3,2
331343,0.8693936254774973,0.5751915743704037,36,30
182127,0.9846398285707042,0.7330012861101329,45,39
29711,0.9157973476027692,0.6047897336679241,40,31
124439,0.8576218902091349,0.5088550095066255,35,26
239930,0.6491262740734011,0.2821645876621919,19,13
416895,0.9284620543393992,0.6778055061928487,40,36
435375,0.98158295443689,0.7685399767180482,44,41
253271,0.9526302082265868,0.746850144261663,42,40
191284,1.0293697872383731,0.8653368785141506,48,47
172861,0.5218433267863065,0.1631761826761256,10,6
416746,0.889322859868335,0.5930922117374958,37,31
49620,0.9264216582327168,0.6428084753184037,40,34
287257,0.8123744938110643,0.4459762455267229,32,22
284097,0.799508442655263,0.4135657532214548,31,20
42633,0.5046770075440078,0.1460811698188478,8,5
19877,0.9667907573158336,0.7148575982885054,43,38
331251,0.7699090903306898,0.4157226916928634,28,20
134630,0.8122047604659929,0.447187587044706,32,22
385046,0.6659087551007744,0.2789467860487169,21,12
172455,0.636471840067448,0.2400085236132388,18,10
385386,0.8583681126794103,0.5585533013695273,35,29
222167,0.7912256308905422,0.498316715338514,30,25
172430,0.6469295183021252,0.2422620698517504,19,10
434771,0.7882507556459452,0.4258759672600885,30,21
222987,0.9629089021506833,0.8171000770633471,43,44
237890,0.9424750136496614,0.6502638626890859,42,34
134042,0.5605325634429452,0.1850190532133289,13,7
284084,0.7935102040512269,0.4037060664722563,30,20
196774,0.6249225001664034,0.2218896458515321,17,9
252981,0.7667806999428798,0.4150908199283475,28,20
40250,0.8970073100124639,0.5708216650837952,38,29
28694,0.9152122571886232,0.6041765079833435,39,31
171334,0.4481086368361371,0.1070811439408487,4,2
406003,1.0350772373446329,0.8786173574383683,49,47
196847,0.6666162770577498,0.2471500185792083,21,11
415942,0.7351502923847341,0.3811223964423192,26,18
399512,0.967915356722482,0.7263445783589684,43,39
449080,1.0089884401403018,0.7874319951600705,47,42
385375,0.8458166562247209,0.5327490117198586,34,27
172800,0.463046297424174,0.1199871466275678,5,3
159309,1.012009768587691,0.8058608865292473,47,43
287136,0.7917795299294554,0.4187680513802835,30,21
253170,0.911100285062348,0.6579956890128328,39,35
242169,1.0257669141728285,0.8425162445011477,48,45
383948,0.529143733020646,0.1584125320455422,10,5
331055,0.6344536464970522,0.2374782603673746,18,10
434244,0.7119998310011905,0.3277485546461373,24,15
252978,0.7497212042825998,0.3905670146316511,27,19
171380,0.5222192582631848,0.1598156865736194,10,6
405059,0.3876591037370476,0.0563075246017674,0,0
229920,1.0250182551699651,0.8565618025393783,48,46
18315,0.9723993548975338,0.725779349465372,44,38
286026,0.8374291342008743,0.4608090685622005,34,23
172603,0.7704679010624144,0.4101937123789675,28,20
416649,0.8442144223495319,0.5170547395139862,34,26
171824,0.4295205271300107,0.0939699031269447,3,2
286188,0.8374190047992713,0.4610063717690319,34,23
226786,1.0286910442800872,0.8685221365606763,48,47
399189,0.7094374897934147,0.3271089640840486,24,15
173147,0.7123889568877603,0.3767768985547986,24,18
405689,0.9672859357695632,0.7490523149202385,43,40
384591,0.7518872158739573,0.3720036400146567,27,18
210448,1.037741414168753,0.8895863857951868,49,48
418101,0.9705018769873056,0.766744556344953,44,41
40717,0.8970110665830936,0.5711714582921071,38,29
112319,0.8845191405649006,0.5603875376545908,37,29
287316,0.8380046683596896,0.4884142564853716,34,25
42691,0.5647444932987008,0.1994175198402403,13,8
221577,0.4051780562425166,0.078973180997893,1,1
321996,1.0267501468032438,0.8537730622318982,48,46
399118,0.7027433909362958,0.3247772820161898,23,15
415749,0.976385695041606,0.773427443540029,44,41
134045,0.5624333719520606,0.1862137437082668,13,7
283494,0.6673708881229726,0.267728765830658,21,12
385404,0.8525763617354848,0.5469759958909132,35,28
172291,0.5580070899113377,0.1559226488130337,12,5
331371,0.8403745739096106,0.5153895504324987,34,26
172630,0.7826056199867563,0.4296266733224474,29,21
173310,0.7813009257451813,0.4258204578650079,29,21
172868,0.5207504239974661,0.1615642230088569,10,6
197625,0.8445034724373118,0.5083509549026745,34,26
283793,0.8022441801650375,0.4197564947634613,31,21
240057,0.6916536598827152,0.3441761276872887,23,16
171912,0.5624319808220192,0.1833706422890174,13,7
222801,0.9775619926796048,0.8557306417720505,44,46
43418,0.923734485529739,0.6641329231212905,40,35
384084,0.6505999948762757,0.2882022113312921,19,13
74513,0.8882229112590702,0.5654254352314999,37,29
222245,0.821190460057358,0.545992924855586,32,28
182220,0.985822938807588,0.7573832898662104,45,40
434311,0.7341080403905833,0.3477114932762984,26,16
321286,0.9269533356058236,0.6845667224144514,40,36
240077,0.7090344275504371,0.3665495162922292,24,18
39269,0.8969120860408241,0.5711470661470354,38,29
204092,0.622513619191201,0.2578156569963545,17,11
222216,0.7910500686110736,0.4959359966709398,30,25
289209,1.002361508427425,0.7994784473092228,46,43
413896,0.9457477512028072,0.7031360059991529,42,37
320950,0.6581757819167122,0.2710027605687252,20,12
197545,0.8178769291089392,0.465672293129063,32,23
286457,0.6839785662522685,0.2742706747064721,22,12
434126,0.674960158769344,0.2862738330676424,21,13
252885,0.681406086687698,0.3044166149648115,22,14
42938,0.6054607217978824,0.1979639988377661,16,8
222459,0.8130518813335595,0.529629292308782,32,27
204131,0.6450972515979814,0.2806228000141353,19,13
330966,0.569665906942657,0.1858696267419861,13,7
385373,0.8463988949343949,0.534071506109147,34,27
51769,0.9258085785281164,0.6414743914907719,40,34
173495,0.9285236972249254,0.6897491556810892,40,36
288544,1.0061900551908876,0.810402365281504,46,43
222922,0.9664708365505048,0.8259405009749595,43,44
331140,0.6722863178897467,0.2741315622497968,21,12
172844,0.4959322946151379,0.1434797270484866,8,5
384523,0.7127005777578485,0.3612410140390248,24,17
238276,0.9505139573727656,0.676957899428198,42,36
420717,0.9823664527158212,0.7907677061671983,45,42
286974,0.7559028126176045,0.3654359520657562,27,18
287014,0.7627474237842534,0.3761305781791207,28,18
405008,0.4981838310533482,0.134034974016598,8,4
467167,0.4418537147802228,0.0968609608429227,4,2
331300,0.8258013094683271,0.4959426436256166,33,25
473958,1.0077554293090487,0.7807423095050331,46,42
222155,0.7832117358483184,0.4845095010919494,29,24
203777,0.5306308069427946,0.16465745351657,10,6
172820,0.4947890637703181,0.1433050901723651,8,5
417663,0.9535223587820206,0.7306594304039556,42,39
196532,0.5080083458390173,0.1378982987618773,9,4
62464,0.916280195962588,0.6208285789568548,40,32
468295,1.022568622714493,0.8266743483835877,48,44
238358,0.9580665237444084,0.6847225787876068,43,36
283775,0.8051444822893261,0.424158438236821,31,21
169238,0.8561008230375088,0.4858820863835308,35,25
253218,0.926964851815016,0.6904838607214062,40,36
417105,0.9389601036625868,0.6987384703724643,41,37
418449,0.9911374487302944,0.8163586214549947,45,44
283888,0.7895850582123276,0.4018678851281602,30,20
286839,0.6963554195820884,0.289726809102466,23,13
419654,0.9829823122361782,0.7926084740485786,45,42
385260,0.8040103983968775,0.4803592897262446,31,24
42614,0.4434179918306171,0.1022778547336438,4,2
385298,0.8143079419927837,0.4953744433048383,32,25
223067,0.9750898579433744,0.8450065370816643,44,45
173156,0.7106709044848056,0.3730620991285573,24,18
468002,1.0393568462600735,0.8744064254563974,49,47
283573,0.6757953189480022,0.2870566637564877,21,13
330833,0.4129373653873855,0.0854351824483278,1,1
331459,0.8889279646995186,0.6101863873755811,37,32
221613,0.4663976863466238,0.1174203001440927,5,3
203322,1.020088471217062,0.84616426673011,47,45
20730,0.963530856704093,0.7063139833757835,43,37
331288,0.8220219743628902,0.4923904963707451,32,25
416010,0.4467107947011149,0.1065826295103284,4,2
252765,0.6067644696766187,0.2310523067379544,16,10
290119,1.0027070475157036,0.7979882007461997,46,43
221956,0.6771221821437896,0.3247469047183436,21,15
253354,0.9517479311579669,0.6939722756659971,42,37
221955,0.6776506289866289,0.3255827691127589,21,15
226500,0.982078083618644,0.7590221669532944,45,40
222198,0.7811229568523937,0.478927124254178,29,24
328104,1.0171533821126573,0.8215593002459247,47,44
417678,0.95438742371305,0.7269649216749503,42,39
286164,0.8373205678581193,0.4606309787293164,34,23
31055,0.9150055788728384,0.6034286923865856,39,31
286883,0.7163311593493399,0.3134154541289154,24,14
321664,1.0323773960545255,0.8715392584036149,48,47
434707,0.8013802527661911,0.446029337233648,31,22
434956,0.8125815444787241,0.4511720032274305,32,23
253025,0.8023303592642027,0.4766738917797249,31,24
287027,0.7627830910746153,0.3758966390835184,28,18
197376,0.8352398610291519,0.4961753035293915,33,25
321040,0.7301298683336864,0.3629816624286198,25,17
283480,0.6702274524943715,0.2744643153574141,21,12
172226,0.5746992725934247,0.2080163521379141,14,8
283780,0.8047320231272593,0.4235193987779132,31,21
434837,0.8118350068168491,0.4514197881901313,32,23
399317,0.8308087281239258,0.4965313090257205,33,25
331455,0.890388480527983,0.6108454372204988,38,32
399306,0.8458740534405997,0.5241442578533834,34,27
434689,0.8054542865581671,0.4529840749817364,31,23
4085,0.9762201679122444,0.7381728642518007,44,39
417577,0.9580565413570508,0.7384498586002616,43,39
283771,0.8038198702036867,0.4228591979715008,31,21
169923,0.8769548121531284,0.5408243158002108,37,28
173462,0.8966228996510655,0.6239442295878711,38,33
196851,0.6699328857692343,0.2493215584144146,21,11
170700,0.3908995048189208,0.0712227344588076,0,0
237952,0.9422508208173074,0.6506124794513781,42,34
416677,0.8676000294381693,0.5560379519094308,36,29
25292,0.9433029503069438,0.6608927554349131,42,35
253008,0.8002704149024038,0.4766811443576518,31,24
134514,0.7638176791761557,0.3747430269748842,28,18
170704,0.3909135431190711,0.0711931324486112,0,0
43637,0.9090486062899082,0.6353220689178427,39,33
19485,0.96607860553786,0.7126370130091346,43,38
284011,0.7793148724760798,0.3880565262428952,29,19
173506,0.931418784996677,0.6905339666597544,41,36
40164,0.8970084055433487,0.5710169126310592,38,29
134219,0.6022372444891665,0.2045104609336184,16,8
331008,0.6451622060795489,0.2644634277174152,19,12
416611,0.8282789478859077,0.490412038408432,33,25
223518,0.9817890022719266,0.8579175467136209,45,46
222147,0.785377802793008,0.4891983113667473,30,25
171740,0.4432702425341029,0.1029145466664564,4,2
418455,0.9907383761666546,0.8161248402835299,45,44
472143,1.009050853132293,0.784385400344103,47,42
434729,0.7959816514865485,0.4379913128920708,30,22
196481,0.491984713858986,0.1284521071451161,7,4
286725,0.7034782777402323,0.2871708845527035,23,13
331024,0.637232773895784,0.2509100832170121,18,11
183977,1.0263714746815165,0.8656397554385898,48,47
203878,0.5158824873384918,0.1480427187654703,9,5
285178,0.8413747659335504,0.4714212763188751,34,24
385442,0.88584704859712,0.6134450964163419,37,32
405102,0.4016193258294831,0.0786547258421867,1,1
173655,1.018071595090997,0.8849923426677718,47,48
331268,0.7843390780998778,0.4313600449168475,30,21
78109,0.8866069073072791,0.5647738229124696,37,29
43289,0.8584477992875789,0.540245558722175,35,28
24678,0.943237297414291,0.6611584640576089,42,35
224681,1.0345071862316475,0.8874993785464769,48,48
172310,0.5611061160469628,0.1616890843174975,13,6
433953,0.6535929316556564,0.2421960033375063,20,10
174060,1.0213777876780743,0.8823765652007974,47,48
126259,0.8917137273786571,0.5870707804497308,38,30
204150,0.6390351021035791,0.2673780068239174,19,12
384621,0.7164887582576166,0.3158993234034285,24,15
134083,0.5780425842452664,0.1971345889408336,14,8
352073,1.0145420935098226,0.8149281146995369,47,44
320974,0.6830386820203205,0.3018652391268785,22,14
252654,0.5986367638502896,0.2201907599239721,15,9
252477,0.9923854980026268,0.747772428844782,45,40
286634,0.6908836817572804,0.2729530169284969,22,12
42725,0.5559586916771012,0.1893744194633309,12,7
416002,0.4283736041516384,0.0950118292422063,3,2
435123,0.8868159819491727,0.5757237042869975,37,30
172987,0.5679767705460532,0.2065263298291753,13,8
43588,0.9148689008570275,0.6471241463327699,39,34
434761,0.791629816111644,0.4306243232133232,30,21
437680,1.020921448014364,0.8346015541022014,47,45
416747,0.888628879424875,0.5911306530971525,37,31
414312,0.9747274762610356,0.7742564365413509,44,41
398882,0.446020345429825,0.0942258396923009,4,2
240347,0.9557830836112108,0.7398289893994526,43,39
124672,0.871267077214532,0.5483275784480864,36,28
384186,0.6574604068120933,0.2890111662414616,20,13
134598,0.8063564461397922,0.4378440990233053,31,22
331273,0.795085374135024,0.4460131355392148,30,22
182925,1.0305276459751325,0.9005543032911659,48,49
252856,0.7010669160747652,0.3384460155722845,23,16
287339,0.8360690204128408,0.4837586579712838,33,24
433725,0.4080845958745329,0.0879889718634036,1,1
37780,0.8958780538928047,0.5686182585491804,38,29
169939,0.873996190825136,0.5365980606383435,36,27
27152,0.9314355357219894,0.6371499549149857,41,33
253021,0.8032987032351789,0.4788128390301499,31,24
221656,0.619411628551636,0.2503294845053383,17,11
223944,0.9900112301088924,0.8395842985240636,45,45
